cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2019-11705,787,8.71%,~ 92 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:20:34.000,2024-08-04 23:03:32.344,mozilla,Stack buffer overflow in icalrecur.c
CVE-2019-11704,787,8.30%,~ 92 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:20:48.000,2024-08-04 23:03:32.479,mozilla,Heap buffer overflow in icalvalue.c
CVE-2019-11703,787,8.30%,~ 92 %,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:20:58.000,2024-08-04 23:03:32.404,mozilla,Heap buffer overflow in icalparser.c
CVE-2019-11698,20,0.38%,~ 59 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Network,Low,None,None,Unchanged,Low,None,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:21:58.000,2024-08-04 23:03:32.445,mozilla,Theft of user history data through drag and drop of hyperlinks to and from bookmarks
CVE-2019-11694,755,0.40%,~ 60 %,7.5,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Network,Low,None,None,Unchanged,High,None,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:22:42.000,2024-08-04 23:03:32.459,mozilla,Uninitialized memory memory leakage in Windows sandbox
CVE-2019-11693,787,0.60%,~ 69 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:22:53.000,2024-08-04 23:03:32.198,mozilla,Buffer overflow in WebGL bufferdata on Linux
CVE-2019-11692,416,0.52%,~ 66 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:23:02.000,2024-08-04 23:03:32.472,mozilla,Use-after-free removing listeners in the event listener manager
CVE-2019-11691,416,0.52%,~ 66 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:23:12.000,2024-08-04 23:03:32.349,mozilla,Use-after-free in XMLHttpRequest
CVE-2019-9820,416,0.55%,~ 68 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:23:31.000,2024-08-04 22:01:54.677,mozilla,Use-after-free of ChromeEventHandler by DocShell
CVE-2019-9819,843,0.55%,~ 68 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2019-07-23 13:23:43.000,2024-08-04 22:01:54.971,mozilla,Compartment mismatch with fetch API
