cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2015-4474,,2.21%,~ 84 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.147,mozilla,Memory Corruption
CVE-2015-4473,119,3.65%,~ 88 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.058,mozilla,Memory Corruption
CVE-2015-4000,310,93.90%,~ 100 %,3.7,LOW,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,Network,High,None,None,Unchanged,None,Low,None,2.2,1.4,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2015-05-21 00:00:00.000,2024-08-06 06:04:02.725,mitre,
CVE-2015-2745,79,0.32%,~ 55 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-08 00:00:00.000,2024-08-06 05:24:38.562,mozilla,
CVE-2015-2744,79,0.26%,~ 49 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-08 00:00:00.000,2024-08-06 05:24:38.508,mozilla,
CVE-2015-2743,17,1.07%,~ 77 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.425,mozilla,Privilege Escalation
CVE-2015-2740,119,3.49%,~ 87 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.471,mozilla,Information Disclosure
CVE-2015-2739,119,1.05%,~ 77 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.416,mozilla,Information Disclosure
CVE-2015-2738,17,1.25%,~ 79 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.469,mozilla,Information Disclosure
CVE-2015-2737,17,1.25%,~ 79 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.482,mozilla,Information Disclosure
CVE-2015-2736,17,1.19%,~ 79 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.549,mozilla,Information Disclosure
CVE-2015-2735,17,1.19%,~ 79 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.438,mozilla,Information Disclosure
CVE-2015-2734,17,1.25%,~ 79 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.466,mozilla,Information Disclosure
CVE-2015-2733,,2.67%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.697,mozilla,Use After Free
CVE-2015-2730,310,0.23%,~ 45 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.084,mozilla,
CVE-2015-2729,119,0.41%,~ 61 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:P/I:N/A:N,,,,,,,,,10.0,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.595,mozilla,
CVE-2015-2728,,1.07%,~ 77 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-07-06 01:00:00.000,2024-08-06 05:24:38.406,mozilla,Memory Corruption
